ZEIT_LANG,ZEIT_CODE,RAUM_LANG,RAUM_CODE,ZIM_LANG,ZIM_CODE,ARA_LANG,ARA_CODE,PST_LANG,PST_CODE,WHG,KREISEZH_LANG,KREISEZH_CODE,StichtagDatJahr,StichtagDatJahr_str,Jahr,RAUM_my_sort
2023-12-31,Z31122023,Albisrieden,R00091,6- und mehr-Zimmer Wohnung,ZIM0060,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,8.0,Kreis 9 (ab 1934),R01400,2023-12-31,2023-12-31,2023,91
2023-12-31,Z31122023,Affoltern,R00111,"1- und 1,5-Zimmer Wohnung",ZIM0001,Neubau,ARA2001,Baubegonnen,PST0006,9.0,Kreis 11 (ab 1970),R01800,2023-12-31,2023-12-31,2023,111
2023-12-31,Z31122023,Schwamendingen-Mitte,R00122,"1- und 1,5-Zimmer Wohnung",ZIM0001,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,22.0,altes Quartier Schwamendingen (1934-1969); Kreis 12 (ab 1970),R01700,2023-12-31,2023-12-31,2023,122
2023-12-31,Z31122023,Seebach,R00119,"3- und 3,5-Zimmer Wohnung",ZIM0003,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,163.0,Kreis 11 (ab 1970),R01800,2023-12-31,2023-12-31,2023,119
2023-12-31,Z31122023,Albisrieden,R00091,"2- und 2,5-Zimmer Wohnung",ZIM0002,Neubau,ARA2001,Baubegonnen,PST0006,142.0,Kreis 9 (ab 1934),R01400,2023-12-31,2023-12-31,2023,91
2023-12-31,Z31122023,Escher Wyss,R00052,"5- und 5,5-Zimmer Wohnung",ZIM0005,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,0.0,Kreis 5 (ab 1915),R00800,2023-12-31,2023-12-31,2023,52
2023-12-31,Z31122023,Witikon,R00074,6- und mehr-Zimmer Wohnung,ZIM0060,Neubau,ARA2001,Baubegonnen,PST0006,0.0,Kreis 7 (ab 1934),R01300,2023-12-31,2023-12-31,2023,74
2023-12-31,Z31122023,Escher Wyss,R00052,"4- und 4,5-Zimmer Wohnung",ZIM0004,Neubau,ARA2001,Baubegonnen,PST0006,54.0,Kreis 5 (ab 1915),R00800,2023-12-31,2023-12-31,2023,52
2023-12-31,Z31122023,Weinegg,R00083,"5- und 5,5-Zimmer Wohnung",ZIM0005,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,0.0,Kreis 8 (ab 1915),R01100,2023-12-31,2023-12-31,2023,83
2023-12-31,Z31122023,Seebach,R00119,"4- und 4,5-Zimmer Wohnung",ZIM0004,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,60.0,Kreis 11 (ab 1970),R01800,2023-12-31,2023-12-31,2023,119
2023-12-31,Z31122023,Leimbach,R00023,"4- und 4,5-Zimmer Wohnung",ZIM0004,Neubau,ARA2001,Baubegonnen,PST0006,16.0,Kreis 2 (ab 1893),R00200,2023-12-31,2023-12-31,2023,23
2023-12-31,Z31122023,Friesenberg,R00033,"2- und 2,5-Zimmer Wohnung",ZIM0002,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,5.0,Kreis 3 (ab 1915),R00600,2023-12-31,2023-12-31,2023,33
2023-12-31,Z31122023,Witikon,R00074,6- und mehr-Zimmer Wohnung,ZIM0060,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,0.0,Kreis 7 (ab 1934),R01300,2023-12-31,2023-12-31,2023,74
