ZEIT_LANG,ZEIT_CODE,RAUM_LANG,RAUM_CODE,BEW,Datenstatus,KREISEZH_LANG,KREISEZH_CODE,StichtagDatJahr,StichtagDatJahr_str,Jahr,RAUM_my_sort
2023-12-31,Z31122023,Weinegg,R00083,5589.0,Provisorisch,Kreis 8 (ab 1915),R01100,2023-12-31,2023-12-31,2023,83
2023-12-31,Z31122023,Langstrasse,R00042,11982.0,Provisorisch,Kreis 4 (ab 1915),R00700,2023-12-31,2023-12-31,2023,42
2023-12-31,Z31122023,Lindenhof,R00013,1046.0,Provisorisch,Kreis 1 (Stadtgebiet vor 1893),R10000,2023-12-31,2023-12-31,2023,13
2023-12-31,Z31122023,Leimbach,R00023,6423.0,Provisorisch,Kreis 2 (ab 1893),R00200,2023-12-31,2023-12-31,2023,23
2023-12-31,Z31122023,Mühlebach,R00082,6494.0,Provisorisch,Kreis 8 (ab 1915),R01100,2023-12-31,2023-12-31,2023,82
2023-12-31,Z31122023,Escher Wyss,R00052,6185.0,Provisorisch,Kreis 5 (ab 1915),R00800,2023-12-31,2023-12-31,2023,52
2023-12-31,Z31122023,Oerlikon,R00115,23959.0,Provisorisch,Kreis 11 (ab 1970),R01800,2023-12-31,2023-12-31,2023,115
2023-12-31,Z31122023,Seefeld,R00081,5777.0,Provisorisch,Kreis 8 (ab 1915),R01100,2023-12-31,2023-12-31,2023,81
2023-12-31,Z31122023,Friesenberg,R00033,11082.0,Provisorisch,Kreis 3 (ab 1915),R00600,2023-12-31,2023-12-31,2023,33
2023-12-31,Z31122023,Affoltern,R00111,27165.0,Provisorisch,Kreis 11 (ab 1970),R01800,2023-12-31,2023-12-31,2023,111
2023-12-31,Z31122023,Hirslanden,R00073,7685.0,Provisorisch,Kreis 7 (ab 1934),R01300,2023-12-31,2023-12-31,2023,73
2023-12-31,Z31122023,City,R00014,806.0,Provisorisch,Kreis 1 (Stadtgebiet vor 1893),R10000,2023-12-31,2023-12-31,2023,14
2023-12-31,Z31122023,Witikon,R00074,11690.0,Provisorisch,Kreis 7 (ab 1934),R01300,2023-12-31,2023-12-31,2023,74
2023-12-31,Z31122023,Werd,R00041,4650.0,Provisorisch,Kreis 4 (ab 1915),R00700,2023-12-31,2023-12-31,2023,41
2023-12-31,Z31122023,Wollishofen,R00021,21181.0,Provisorisch,Kreis 2 (ab 1893),R00200,2023-12-31,2023-12-31,2023,21
2023-12-31,Z31122023,Hirzenbach,R00123,13251.0,Provisorisch,altes Quartier Schwamendingen (1934-1969); Kreis 12 (ab 1970),R01700,2023-12-31,2023-12-31,2023,123
2023-12-31,Z31122023,Rathaus,R00011,3343.0,Provisorisch,Kreis 1 (Stadtgebiet vor 1893),R10000,2023-12-31,2023-12-31,2023,11
2023-12-31,Z31122023,Hochschulen,R00012,695.0,Provisorisch,Kreis 1 (Stadtgebiet vor 1893),R10000,2023-12-31,2023-12-31,2023,12
