ZEIT_LANG,ZEIT_CODE,RAUM_LANG,RAUM_CODE,BEW,Datenstatus,QUARTIEREZH_LANG,QUARTIEREZH_CODE,KREISEZH_LANG,KREISEZH_CODE,StichtagDatJahr,StichtagDatJahr_str,Jahr,RAUM_my_sort
2023-12-31,Z31122023,Zähringerstrasse,R3Z001,595.0,Provisorisch,Rathaus,R00011,Kreis 1 (Stadtgebiet vor 1893),R10000,2023-12-31,2023-12-31,2023,1
2023-12-31,Z31122023,Prediger,R3Z002,1045.0,Provisorisch,Rathaus,R00011,Kreis 1 (Stadtgebiet vor 1893),R10000,2023-12-31,2023-12-31,2023,2
2023-12-31,Z31122023,Grossmünster,R3Z003,956.0,Provisorisch,Rathaus,R00011,Kreis 1 (Stadtgebiet vor 1893),R10000,2023-12-31,2023-12-31,2023,3
2023-12-31,Z31122023,Oberdorf,R3Z004,747.0,Provisorisch,Rathaus,R00011,Kreis 1 (Stadtgebiet vor 1893),R10000,2023-12-31,2023-12-31,2023,4
2023-12-31,Z31122023,Central,R3Z005,347.0,Provisorisch,Hochschulen,R00012,Kreis 1 (Stadtgebiet vor 1893),R10000,2023-12-31,2023-12-31,2023,5
2023-12-31,Z31122023,ETH / Universität,R3Z006,81.0,Provisorisch,Hochschulen,R00012,Kreis 1 (Stadtgebiet vor 1893),R10000,2023-12-31,2023-12-31,2023,6
2023-12-31,Z31122023,Bellevue,R3Z007,267.0,Provisorisch,Hochschulen,R00012,Kreis 1 (Stadtgebiet vor 1893),R10000,2023-12-31,2023-12-31,2023,7
2023-12-31,Z31122023,Schipfe,R3Z009,505.0,Provisorisch,Lindenhof,R00013,Kreis 1 (Stadtgebiet vor 1893),R10000,2023-12-31,2023-12-31,2023,9
2023-12-31,Z31122023,Münsterhof,R3Z010,491.0,Provisorisch,Lindenhof,R00013,Kreis 1 (Stadtgebiet vor 1893),R10000,2023-12-31,2023-12-31,2023,10
2023-12-31,Z31122023,Stadthaus,R3Z011,50.0,Provisorisch,Lindenhof,R00013,Kreis 1 (Stadtgebiet vor 1893),R10000,2023-12-31,2023-12-31,2023,11
2023-12-31,Z31122023,Bahnhofplatz,R3Z012,38.0,Provisorisch,City,R00014,Kreis 1 (Stadtgebiet vor 1893),R10000,2023-12-31,2023-12-31,2023,12
2023-12-31,Z31122023,Sihlporte,R3Z013,109.0,Provisorisch,City,R00014,Kreis 1 (Stadtgebiet vor 1893),R10000,2023-12-31,2023-12-31,2023,13
2023-12-31,Z31122023,Selnaustrasse,R3Z014,617.0,Provisorisch,City,R00014,Kreis 1 (Stadtgebiet vor 1893),R10000,2023-12-31,2023-12-31,2023,14
2023-12-31,Z31122023,Paradeplatz,R3Z015,42.0,Provisorisch,City,R00014,Kreis 1 (Stadtgebiet vor 1893),R10000,2023-12-31,2023-12-31,2023,15
2023-12-31,Z31122023,Bahnhof Wollishofen,R3Z016,536.0,Provisorisch,Wollishofen,R00021,Kreis 2 (ab 1893),R00200,2023-12-31,2023-12-31,2023,16
